# lat,long,time(min)
55.764840,12.092636,72
55.762340,12.092636,72
55.694840,12.092636,79
55.684840,12.092636,81
55.682340,12.092636,76
55.679840,12.092636,76
55.677340,12.092636,65
55.674840,12.092636,65
55.672340,12.092636,74
55.669840,12.092636,72
55.667340,12.092636,72
55.664840,12.092636,76
55.662340,12.092636,61
55.659840,12.092636,58
55.657340,12.092636,56
55.654840,12.092636,52
55.652340,12.092636,53
55.649840,12.092636,55
55.647340,12.092636,51
55.644840,12.092636,47
55.642340,12.092636,43
55.639840,12.092636,44
55.637340,12.092636,44
55.634840,12.092636,47
55.632340,12.092636,49
55.629840,12.092636,50
55.627340,12.092636,51
55.624840,12.092636,56
55.622340,12.092636,51
55.619840,12.092636,55
55.617340,12.092636,57
55.614840,12.092636,54
55.612340,12.092636,56
55.609840,12.092636,56
55.607340,12.092636,58
55.604840,12.092636,59
55.602340,12.092636,58
55.599840,12.092636,56
55.597340,12.092636,69
55.594840,12.092636,72
55.592340,12.092636,72
55.589840,12.092636,72
55.587340,12.092636,123
55.584840,12.092636,124
55.582340,12.092636,124
55.579840,12.092636,124
55.577340,12.092636,58
55.574840,12.092636,81
55.572340,12.092636,59
55.569840,12.092636,81
55.567340,12.092636,83
55.564840,12.092636,86
55.562340,12.092636,89
55.559840,12.092636,92
55.557340,12.092636,96
55.864840,12.097636,98
55.862340,12.097636,92
55.859840,12.097636,92
55.857340,12.097636,99
55.854840,12.097636,102
55.852340,12.097636,92
55.849840,12.097636,92
55.847340,12.097636,81
55.844840,12.097636,81
55.842340,12.097636,87
55.839840,12.097636,90
55.837340,12.097636,94
55.834840,12.097636,94
55.832340,12.097636,90
55.829840,12.097636,89
55.827340,12.097636,85
55.824840,12.097636,84
55.822340,12.097636,86
55.819840,12.097636,76
55.817340,12.097636,77
55.814840,12.097636,88
55.812340,12.097636,86
55.809840,12.097636,84
55.807340,12.097636,89
55.804840,12.097636,89
55.802340,12.097636,87
55.799840,12.097636,91
55.797340,12.097636,95
55.794840,12.097636,89
55.792340,12.097636,86
55.789840,12.097636,85
55.787340,12.097636,85
55.784840,12.097636,89
55.782340,12.097636,83
55.779840,12.097636,80
55.777340,12.097636,75
55.774840,12.097636,70
55.772340,12.097636,69
55.769840,12.097636,69
55.767340,12.097636,71
55.764840,12.097636,69
55.762340,12.097636,71
